Year,Month,Count
2021,January,14
2021,February,17
2021,March,27
2021,April,30
2021,May,27
2021,June,25
2021,July,19
2021,August,32
2021,September,25
2020,January,25
2020,February,24
2020,March,22
2020,April,16
2020,May,27
2020,June,15
2020,July,22
2020,August,10
2020,September,21
2020,October,20
2020,November,17
2020,December,10
2019,January,2
2019,March,3
2019,April,4
2019,May,4
2019,June,4
2019,July,4
2019,August,5
2019,September,9
2019,October,9
2019,November,27
2019,December,17
2018,January,1
2018,April,3
2018,May,1
2018,June,4
2018,July,1
2018,August,2
2018,September,1
2018,October,3
2018,December,4
2017,February,1
2017,May,1
2017,June,2
2017,July,2
2017,September,1
2017,October,1
2017,November,1
2017,December,2
2016,January,2
2016,February,2
2016,April,1
2016,June,1
2016,July,1
2016,August,1
2016,September,1
2016,December,1
2015,July,1
2015,October,1
2015,November,1
2015,December,1
2015,October,1