year,month,,,,,,,,,,,,
2018,January,8,10,19,24,25,,,,,,,
2018,February,1,5,8,13,14,23,,,,,,
2018,March,1,,,,,,,,,,,
2018,April,9,10,11,16,17,23,24,30,,,,
2018,May,2,4,10,14,20,25,31,,,,,
2018,June,9,13,15,21,28,29,30,,,,,
2018,July,3,4,8,10,11,12,20,23,24,25,26,30
2018,Augu,4,7,8,13,14,17,21,24,28,31,,
2018,September,10,11,14,24,25,26,29,30,,,,
2018,October,1,2,4,8,10,11,23,25,26,31,,
2018,November,1,2,3,8,9,20,29,30,,,,
2018,December,8,10,21,27,,,,,,,,
2019,January,2,5,6,8,10,11,12,14,18,22,23,29
2019,February,8,14,22,27,,,,,,,,
2019,March,1,4,6,16,27,,,,,,,
2019,April,2,5,19,23,24,29,,,,,,
2019,May,2,3,5,6,10,13,23,24,25,28,,
2019,June,3,4,7,17,19,20,21,24,28,,,
2019,July,5,11,15,16,19,22,24,31,,,,
2019,Augu,7,12,,,,,,,,,,
2019,September,6,12,16,,,,,,,,,
2019,October,4,9,17,27,30,31,,,,,,
2019,November,1,2,5,8,12,16,18,21,,,,
2019,December,11,12,17,18,23,,27,29,,,,
2020,January,3,8,13,16,22,29,30,,,,,
2020,February,21,28,,,,,,,,,,
2020,March,2,3,10,11,12,26,,,,,,
2020,April,6,8,9,17,18,,,,,,,
2020,May,6,22,25,29,,,,,,,,
2020,June,9,12,15,19,26,,,,,,,
2020,July,3,4,15,24,27,,,,,,,
2020,Augu,31,,,,,,,,,,,
2020,September,28,,,,,,,,,,,
2020,October,1,2,7,16,,,,,,,,
2020,November,4,5,20,,,,,,,,,
2020,December,18,23,,,,,,,,,,
2021,January,13,19,,,,,,,,,,
2021,February,10,11,12,24,28,,,,,,,
2021,March,8,10,12,22,25,28,30,,,,,
2021,April,20,21,,,,,,,,,,
2021,May,20,28,31,,,,,,,,,
2021,June,19,,,,,,,,,,,
2021,July,2,8,27,29,,,,,,,,
2021,Augu,18,27,,,,,,,,,,